央视,#genre#
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV-1 综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://125.210.152.19:9090/live/hzgq-cctv1gq-h264.m3u8
CCTV-1 综合,http://59.44.10.113:9901/tsfile/live/1018_1.m3u8
CCTV-1 综合,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV-4 中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://59.44.10.113:9901/tsfile/live/1045_1.m3u8
CCTV5-体育,http://39.135.134.67/000000001000/3000000001000028638/index.m3u8
CCTV5-体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5-体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8
CCTV5-体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225751/index.m3u8
咪沽高清,http://117.136.156.3/000000001000/3000000010000005180/index.m3u8
咪沽高清CCTV5,https://epg.pm/stream/7e0a5c10c6eb410dcbfe8085ce480943ca360298338d161bbf83bfff4a518adc.m3u8
CCTV-5+ 体育赛事,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv5phd/2300000/mnf.m3u8
CCTV-5+ 体育赛事,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+ 体育赛事,http://39.135.138.60:18890/PLTV/88888910/224/3221225706/index.m3u8
CCTV6-电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV7-国防军事,http://39.135.138.60:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV-8 电视剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8 电视剧,http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8
CCTV-9 纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8
CCTV10,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV-11 戏曲,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8
CCTV-12社会与法,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8
CCTV-12社会与法,http://123.6.9.146/live/jz-cctv-12/live.m3u8
CCTV13-新闻,http://39.135.138.58:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13 新闻,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13 新闻,http://59.44.10.113:9901/tsfile/live/1083_1.m3u8
CGTN-英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-英语,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8?sign=1652235852-b3d2d3595f8f9f6fb0779c5a9a7d0285
CGTN-英语,http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
CGTN-法语,http://117.148.179.156/PLTV/88888888/224/3221231550/index.m3u8
CGTN-纪录,http://117.148.179.144/PLTV/88888888/224/3221231492/index.m3u8
CGTN-纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8
CCTV-怀旧剧场,http://117.148.179.158/PLTV/88888888/224/3221231544/index.m3u8
CCTV-怀旧剧场,http://117.148.179.147/PLTV/88888888/224/3221231544/index.m3u8
CCTV-第一剧场,http://117.148.179.172/PLTV/88888888/224/3221231540/index.m3u8
CCTV-第一剧场,http://117.148.179.147/PLTV/88888888/224/3221231540/index.m3u8
CCTV-风云足球,http://117.148.179.137/PLTV/88888888/224/3221231547/index.m3u8
CCTV-风云足球,http://117.148.179.147/PLTV/88888888/224/3221231547/index.m3u8
CCTV-女性时尚,http://117.148.179.167/PLTV/88888888/224/3221231598/index.m3u8
CCTV-女性时尚,http://117.148.179.147/PLTV/88888888/224/3221231598/index.m3u8
CCTV-央视台球,http://117.148.179.167/PLTV/88888888/224/3221231616/index.m3u8
CCTV-央视台球,http://117.148.179.147/PLTV/88888888/224/3221231616/index.m3u8
CCTV-央视文化精品,http://117.148.179.147/PLTV/88888888/224/3221231561/index.m3u8
CCTV-世界地理,http://117.148.179.147/PLTV/88888888/224/3221231537/index.m3u8
CCTV-风云剧场,http://117.148.179.147/PLTV/88888888/224/3221231604/index.m3u8
CCTV-电视指南,http://117.148.179.147/PLTV/88888888/224/3221231571/index.m3u8
CCTV-1,http://39.135.32.236:6610/PLTV/77777777/224/3221225654/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-2,http://39.135.32.236:6610/PLTV/77777777/224/3221225657/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV-3,http://39.135.32.236:6610/PLTV/77777777/224/3221225677/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-4,http://39.135.32.236:6610/PLTV/77777777/224/3221225753/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5,http://39.135.32.236:6610/PLTV/77777777/224/3221225516/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-6,http://39.135.32.236:6610/PLTV/77777777/224/3221225683/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-7,http://39.135.32.236:6610/PLTV/77777777/224/3221225627/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8,http://39.135.32.236:6610/PLTV/77777777/224/3221225630/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9,http://39.135.32.236:6610/PLTV/77777777/224/3221225633/index.m3u8?#http://39.135.32.236:6610/PLTV/77777777/224/3221225939/index.m3u8?#http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225676/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240250_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10,http://39.135.32.236:6610/PLTV/77777777/224/3221225624/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-11,http://39.135.32.236:6610/PLTV/77777777/224/3221225739/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226240/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12,http://39.135.32.236:6610/PLTV/77777777/224/3221225645/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13,http://39.135.32.236:6610/PLTV/77777777/224/3221225742/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226233/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14,http://39.135.32.236:6610/PLTV/77777777/224/3221225648/index.m3u8?#http://39.134.65.162/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15,http://39.135.32.236:6610/PLTV/77777777/224/3221225693/index.m3u8?#http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-16,http://39.135.32.236:6610/PLTV/77777777/224/3221225956/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226921/index.m3u8
CCTV-17,http://39.135.32.236:6610/PLTV/77777777/224/3221225513/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226198/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-5+,http://39.135.32.236:6610/PLTV/77777777/224/3221225621/index.m3u8?#http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-4K,https://p.ggiptv.com/v/4k.m3u8
CCTV-1,http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-3,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-5,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV-6,http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-8,http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8
CCTV-9,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-15,http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-16,http://111.20.33.93/PLTV/88888893/224/3221226921/index.m3u8
CCTV-17,http://111.20.33.93/PLTV/88888893/224/3221226198/index.m3u8



卫视,#genre#

北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8#http://shbu.live.bestvcdn.com.cn:8080/live/program/live/bjwshd/4000000/mnf.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226222/index.m3u8
重庆卫视,http://183.207.255.197/live/program/live/cqws/1300000/mnf.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225963/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226202/index.m3u8
深圳卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225741/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225668/index.m3u8#http://140.207.241.3:8080/live/program/live/szwshd/4000000/mnf.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226205/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225745/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225506/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225977/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225506/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225506/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226211/index.m3u8#http://223.151.51.27:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225744/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225514/index.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel15/1080p.m3u8#http://yd-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://yd-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8#http://yd-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8#http://yd-m-l.cztv.com/channels/lantian/channel15/1080p.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226199/index.m3u8
辽宁卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225735/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8#http://shbu.live.bestvcdn.com.cn:8080/live/program/live/lnwshd/4000000/mnf.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226210/index.m3u8
江西卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225705/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8#http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jxwshd/4000000/mnf.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8#http://183.207.255.197/live/program/live/jswshd/2300000/mnf.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225882/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225503/index.m3u8#http://140.207.241.3:8080/live/program/live/jswshd/4000000/mnf.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225503/index.m3u8#http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jswshd/4000000/mnf.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
东方卫视,http://183.207.255.197/live/program/live/hddfws/2300000/mnf.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225865/index.m3u8#http://140.207.241.3:8080/live/program/live/hddfws/4000000/mnf.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225658/index.m3u8#http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hddfws/4000000/mnf.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226217/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
广东卫视,http://39.134.66.110/PLTV/88888888/224/3221225966/index.m3u8#http://140.207.241.3:8080/live/program/live/gdwshd/4000000/mnf.m3u8#http://cm.wshls.homecdn.com/live/1bd69.m3u8#http://shbu.live.bestvcdn.com.cn:8080/live/program/live/gdwshd/4000000/mnf.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226216/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8#http://183.63.15.42:9901/tsfile/live/0125_1.m3u8#http://117.169.120.136:8080/live/guangdongstv/.m3u8
天津卫视,http://117.148.179.146/PLTV/88888888/224/3221228905/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225878/index.m3u8#http://140.207.241.3:8080/live/program/live/tjwshd/4000000/mnf.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226204/index.m3u8
山东卫视,http://117.148.179.137/PLTV/88888888/224/3221227909/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8#http://140.207.241.3:8080/live/program/live/sdwshd/4000000/mnf.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8#http://shbu.live.bestvcdn.com.cn:8080/live/program/live/sdwshd/4000000/mnf.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226209/index.m3u8
湖北卫视,http://117.148.179.142/PLTV/88888888/224/3221231888/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225871/index.m3u8#http://140.207.241.3:8080/live/program/live/hbwshd/4000000/mnf.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226194/index.m3u8
